wavelength_um,L_W_m2_sr_um
1.188596491228070207e+01,1.719129292423981425e+01
1.189849624060150290e+01,1.715928605415768260e+01
1.191102756892230552e+01,1.712731615767243909e+01
1.192355889724310813e+01,1.709538342461365801e+01
1.193609022556390897e+01,1.706348804236819205e+01
1.194862155388471159e+01,1.703163019589904081e+01
1.196115288220551420e+01,1.699981006776411974e+01
1.197368421052631504e+01,1.696802783813485860e+01
1.198621553884711766e+01,1.693628368481475732e+01
1.199874686716792027e+01,1.690457778325778548e+01
1.201127819548872111e+01,1.687291030658663971e+01
1.202380952380952372e+01,1.684128142561096908e+01
1.203634085213032634e+01,1.680969130884544072e+01
1.204887218045112718e+01,1.677814012252763476e+01
1.206140350877192979e+01,1.674662803063598204e+01
1.207393483709273241e+01,1.671515519490742463e+01
1.208646616541353325e+01,1.668372177485507279e+01
1.209899749373433586e+01,1.665232792778568793e+01
1.211152882205513848e+01,1.662097380881716546e+01
1.212406015037593932e+01,1.658965957089565535e+01
1.213659147869674193e+01,1.655838536481295620e+01
1.214912280701754455e+01,1.652715133922345814e+01
1.216165413533834538e+01,1.649595764066113546e+01
1.217418546365914800e+01,1.646480441355642199e+01
1.218671679197995061e+01,1.643369180025293375e+01
1.219924812030075145e+01,1.640261994102419507e+01
1.221177944862155407e+01,1.637158897409004155e+01
1.222431077694235668e+01,1.634059903563319338e+01
1.223684210526315752e+01,1.630965025981550554e+01
1.224937343358395836e+01,1.627874277879420717e+01
1.226190476190476275e+01,1.624787672273802031e+01
1.227443609022556359e+01,1.621705221984320389e+01
1.228696741854636443e+01,1.618626939634941309e+01
1.229949874686716882e+01,1.615552837655555152e+01
1.231203007518796966e+01,1.612482928283549199e+01
1.232456140350877050e+01,1.609417223565362676e+01
1.233709273182957489e+01,1.606355735358038928e+01
1.234962406015037573e+01,1.603298475330773343e+01
1.236215538847117656e+01,1.600245454966429648e+01
1.237468671679198096e+01,1.597196685563073437e+01
1.238721804511278179e+01,1.594152178235473727e+01
1.239974937343358263e+01,1.591111943916609306e+01
1.241228070175438525e+01,1.588075993359152349e+01
1.242481203007518786e+01,1.585044337136957004e+01
1.243734335839598870e+01,1.582016985646525953e+01
1.244987468671679132e+01,1.578993949108471107e+01
1.246240601503759393e+01,1.575975237568966136e+01
1.247493734335839477e+01,1.572960860901192071e+01
1.248746867167919739e+01,1.569950828806760690e+01
1.250000000000000000e+01,1.566945150817148757e+01
